call_id,caller_id,receiver_id,timestamp,duration_sec,tower_location_id,pattern_tag
C0001,P144,P010,2026-04-16 01:09:00,265,L007,background
C0002,P136,P086,2026-01-06 12:48:00,26,L016,background
C0003,P116,P110,2026-04-30 20:30:00,158,L016,background
C0004,P023,P096,2026-06-18 12:30:00,42,L005,background
C0005,P124,P089,2026-02-17 00:43:00,76,L019,background
C0006,P081,P114,2026-02-07 12:14:00,27,L011,background
C0007,P074,P142,2026-06-10 13:10:00,67,L004,background
C0008,P134,P148,2026-03-20 06:57:00,17,L002,background
C0009,P007,P032,2026-03-02 10:17:00,116,L011,background
C0010,P010,P041,2026-01-16 22:08:00,62,L001,background
C0011,P104,P025,2026-06-18 23:56:00,67,L015,background
C0012,P108,P020,2026-04-19 04:38:00,44,L003,background
C0013,P118,P017,2026-05-07 05:21:00,119,L010,background
C0014,P146,P048,2026-03-21 05:38:00,92,L013,background
C0015,P098,P043,2026-05-20 14:11:00,32,L008,background
C0016,P005,P033,2026-06-10 09:07:00,93,L003,background
C0017,P015,P012,2026-05-08 09:41:00,54,L001,background
C0018,P129,P049,2026-06-20 01:19:00,116,L020,background
C0019,P009,P109,2026-03-03 16:28:00,74,L008,background
C0020,P071,P094,2026-03-09 05:37:00,91,L014,background
C0021,P146,P128,2026-06-10 18:37:00,31,L003,background
C0022,P025,P074,2026-06-08 16:05:00,89,L015,background
C0023,P031,P146,2026-01-26 21:55:00,75,L014,background
C0024,P116,P107,2026-02-12 17:08:00,106,L016,background
C0025,P048,P121,2026-06-11 12:36:00,58,L017,background
C0026,P087,P029,2026-05-20 09:12:00,268,L015,background
C0027,P144,P054,2026-06-27 10:14:00,200,L002,background
C0028,P020,P130,2026-03-20 14:24:00,89,L014,background
C0029,P088,P148,2026-03-30 01:23:00,259,L017,background
C0030,P010,P057,2026-03-16 20:33:00,81,L009,background
C0031,P101,P007,2026-02-07 23:00:00,270,L012,background
C0032,P083,P079,2026-03-01 20:34:00,65,L018,background
C0033,P109,P059,2026-02-24 17:15:00,43,L010,background
C0034,P076,P133,2026-06-22 22:00:00,52,L010,background
C0035,P080,P092,2026-05-16 19:43:00,42,L004,background
C0036,P046,P073,2026-06-26 07:09:00,25,L005,background
C0037,P072,P125,2026-02-08 03:40:00,106,L020,background
C0038,P100,P051,2026-06-20 17:37:00,113,L015,background
C0039,P064,P088,2026-04-01 22:06:00,170,L018,background
C0040,P100,P105,2026-02-02 10:22:00,47,L011,background
C0041,P145,P144,2026-04-14 03:38:00,31,L009,background
C0042,P063,P083,2026-01-10 14:03:00,133,L003,background
C0043,P096,P114,2026-05-17 01:33:00,95,L003,background
