entity_id,ground_truth_group,ground_truth_role,label_source
P001,N01,network_member,known
P007,N01,network_member,known
P013,N01,network_member,known
P021,N01,network_member,known
P050,N01,network_member,known
P031,N02,network_member,known
P034,N02,network_member,known
P038,N02,network_member,known
P042,N02,network_member,known
P050,N02,network_member,known
P051,N03,network_member,known
P057,N03,network_member,known
P061,N03,network_member,known
P066,N03,network_member,known
P090,N03,network_member,known
P071,N04,network_member,known
P078,N04,network_member,known
P083,N04,network_member,known
P091,N04,network_member,known
P090,N04,network_member,known
P101,N05,network_member,known
P104,N05,network_member,known
P108,N05,network_member,known
P113,N05,network_member,known
P117,N05,network_member,known
P121,N05,network_member,known
P125,N05,network_member,known
P129,N05,network_member,known
P050,BRIDGE,bridge_node,known
P090,BRIDGE,bridge_node,known
P011,ANOM_CIRCULAR,circular_transaction,known
P024,ANOM_CIRCULAR,circular_transaction,known
P037,ANOM_CIRCULAR,circular_transaction,known
P004,ANOM_LAYERING,layering_chain,known
P019,ANOM_LAYERING,layering_chain,known
P027,ANOM_LAYERING,layering_chain,known
P033,ANOM_LAYERING,layering_chain,known
P044,ANOM_COMM_SPIKE,communication_spike,known
