incident_id,date,location_id,crime_type,description,mentioned_person_ids
FIR001,2026-01-27,L011,Illegal Gambling,Two persons were reported near Civil Lines. Persons P137 and P055 were mentioned in the preliminary report.,P137|P055
FIR002,2026-01-05,L015,Burglary,Two persons were reported near Aundh. Persons P129 and P036 were mentioned in the preliminary report.,P129|P036
FIR003,2026-03-30,L004,Cyber Fraud,Two persons were reported near Wakad. Persons P035 and P001 were mentioned in the preliminary report.,P035|P001
FIR004,2026-04-14,L011,Illegal Gambling,Two persons were reported near Civil Lines. Persons P083 and P042 were mentioned in the preliminary report.,P083|P042
FIR005,2026-05-07,L004,Robbery,Two persons were reported near Wakad. Persons P131 and P107 were mentioned in the preliminary report.,P131|P107
FIR006,2026-02-11,L011,Extortion,Two persons were reported near Civil Lines. Persons P099 and P064 were mentioned in the preliminary report.,P099|P064
FIR007,2026-06-14,L002,Burglary,Two persons were reported near Shivajinagar. Persons P122 and P133 were mentioned in the preliminary report.,P122|P133
FIR008,2026-05-05,L018,Burglary,Two persons were reported near Bavdhan. Persons P112 and P084 were mentioned in the preliminary report.,P112|P084
FIR009,2026-04-15,L009,Illegal Gambling,Two persons were reported near Thane. Persons P068 and P118 were mentioned in the preliminary report.,P068|P118
FIR010,2026-02-24,L009,Vehicle Theft,Two persons were reported near Thane. Persons P134 and P003 were mentioned in the preliminary report.,P134|P003
FIR011,2026-01-28,L018,Burglary,Two persons were reported near Bavdhan. Persons P035 and P132 were mentioned in the preliminary report.,P035|P132
FIR012,2026-02-19,L013,Illegal Gambling,Two persons were reported near Kondhwa. Persons P047 and P045 were mentioned in the preliminary report.,P047|P045
FIR013,2026-04-14,L016,Illegal Gambling,Two persons were reported near Satara Road. Persons P135 and P005 were mentioned in the preliminary report.,P135|P005
FIR014,2026-03-03,L014,Fraud,Two persons were reported near Pimpri. Persons P073 and P105 were mentioned in the preliminary report.,P073|P105
FIR015,2026-01-25,L014,Extortion,Two persons were reported near Pimpri. Persons P146 and P069 were mentioned in the preliminary report.,P146|P069
FIR016,2026-04-04,L014,Fraud,Two persons were reported near Pimpri. Persons P016 and P096 were mentioned in the preliminary report.,P016|P096
FIR017,2026-05-23,L001,Extortion,Two persons were reported near Kothrud. Persons P102 and P058 were mentioned in the preliminary report.,P102|P058
FIR018,2026-05-31,L019,Fraud,Two persons were reported near Yerawada. Persons P080 and P010 were mentioned in the preliminary report.,P080|P010
FIR019,2026-05-10,L010,Illegal Gambling,Two persons were reported near Nashik Road. Persons P127 and P043 were mentioned in the preliminary report.,P127|P043
FIR020,2026-01-06,L019,Cyber Fraud,Two persons were reported near Yerawada. Persons P078 and P088 were mentioned in the preliminary report.,P078|P088
FIR021,2026-05-08,L020,Fraud,Two persons were reported near Kalyani Nagar. Persons P138 and P009 were mentioned in the preliminary report.,P138|P009
FIR022,2026-06-20,L017,Cyber Fraud,Two persons were reported near Market Yard. Persons P057 and P094 were mentioned in the preliminary report.,P057|P094
FIR023,2026-02-26,L010,Illegal Gambling,Two persons were reported near Nashik Road. Persons P002 and P033 were mentioned in the preliminary report.,P002|P033
FIR024,2026-04-24,L005,Illegal Gambling,Two persons were reported near Viman Nagar. Persons P040 and P037 were mentioned in the preliminary report.,P040|P037
FIR025,2026-06-03,L005,Cyber Fraud,Two persons were reported near Viman Nagar. Persons P130 and P077 were mentioned in the preliminary report.,P130|P077
FIR026,2026-06-25,L001,Cyber Fraud,Two persons were reported near Kothrud. Persons P049 and P080 were mentioned in the preliminary report.,P049|P080
FIR027,2026-05-22,L013,Vehicle Theft,Two persons were reported near Kondhwa. Persons P139 and P033 were mentioned in the preliminary report.,P139|P033
FIR028,2026-04-14,L008,Fraud,Two persons were reported near Dadar. Persons P058 and P149 were mentioned in the preliminary report.,P058|P149
FIR029,2026-04-03,L018,Fraud,Two persons were reported near Bavdhan. Persons P057 and P116 were mentioned in the preliminary report.,P057|P116
FIR030,2026-01-05,L012,Cyber Fraud,Two persons were reported near Camp. Persons P067 and P088 were mentioned in the preliminary report.,P067|P088
FIR031,2026-05-08,L001,Illegal Gambling,Two persons were reported near Kothrud. Persons P133 and P012 were mentioned in the preliminary report.,P133|P012
