transaction_id,sender_id,receiver_id,amount,timestamp,transaction_type,pattern_tag
TX0001,P098,P082,50885.63,2026-04-26 00:33:00,Bank Transfer,background
TX0002,P144,P086,112324.11,2026-05-27 13:07:00,Bank Transfer,background
TX0003,P045,P090,69562.47,2026-06-08 22:57:00,Wallet,background
TX0004,P139,P056,55303.61,2026-03-22 15:36:00,UPI,background
TX0005,P038,P026,41516.61,2026-03-24 03:16:00,Wallet,background
TX0006,P093,P132,67077.88,2026-06-02 16:17:00,Wallet,background
TX0007,P043,P112,84151.08,2026-03-16 13:10:00,Bank Transfer,background
TX0008,P089,P063,62649.69,2026-05-14 23:26:00,Wallet,background
TX0009,P136,P088,97311.43,2026-04-30 04:06:00,UPI,background
TX0010,P125,P085,75512.54,2026-06-07 22:48:00,Bank Transfer,background
TX0011,P021,P091,65163.6,2026-03-31 20:57:00,Wallet,background
TX0012,P013,P018,6649.14,2026-04-20 22:07:00,UPI,background
TX0013,P059,P125,100454.2,2026-05-05 16:50:00,UPI,background
TX0014,P127,P112,136641.68,2026-04-13 22:47:00,Bank Transfer,background
TX0015,P124,P049,115252.28,2026-05-06 06:52:00,UPI,background
TX0016,P141,P069,127664.91,2026-06-15 18:41:00,Wallet,background
TX0017,P050,P110,43497.13,2026-03-22 00:28:00,Bank Transfer,background
TX0018,P148,P074,115806.79,2026-01-08 22:54:00,UPI,background
TX0019,P046,P068,51140.55,2026-03-30 08:51:00,Bank Transfer,background
TX0020,P003,P101,86163.26,2026-02-07 21:30:00,Bank Transfer,background
TX0021,P091,P060,99039.25,2026-04-01 18:32:00,Bank Transfer,background
TX0022,P137,P095,144639.64,2026-04-16 00:08:00,Bank Transfer,background
TX0023,P023,P050,84633.79,2026-03-05 08:42:00,Bank Transfer,background
TX0024,P108,P088,131671.21,2026-06-22 01:45:00,Wallet,background
TX0025,P012,P138,107306.18,2026-03-18 04:24:00,UPI,background
TX0026,P026,P061,50599.73,2026-05-07 18:23:00,Wallet,background
TX0027,P046,P063,134486.31,2026-01-16 05:12:00,UPI,background
TX0028,P014,P020,103510.66,2026-05-23 01:25:00,Wallet,background
TX0029,P024,P141,94108.11,2026-04-30 01:09:00,Wallet,background
TX0030,P017,P123,98244.75,2026-05-19 10:01:00,Bank Transfer,background
TX0031,P052,P018,59033.44,2026-06-08 16:25:00,UPI,background
TX0032,P027,P064,28209.16,2026-03-26 08:57:00,Wallet,background
TX0033,P088,P041,61124.72,2026-03-06 11:26:00,Bank Transfer,background
TX0034,P011,P133,92580.03,2026-06-19 20:56:00,Bank Transfer,background
TX0035,P020,P037,7463.03,2026-06-23 16:24:00,UPI,background
TX0036,P134,P054,123817.72,2026-05-14 15:23:00,UPI,background
TX0037,P011,P086,30441.59,2026-05-08 22:58:00,UPI,background
TX0038,P093,P069,33717.56,2026-03-28 00:20:00,Bank Transfer,background
TX0039,P094,P056,68548.07,2026-05-11 12:39:00,Wallet,background
TX0040,P080,P074,40486.97,2026-02-13 19:08:00,Bank Transfer,background
TX0041,P029,P097,52753.04,2026-06-04 06:42:00,Bank Transfer,background
TX0042,P029,P125,148562.72,2026-03-01 16:59:00,Bank Transfer,background
TX0043,P095,P017,28054.87,2026-02-10 15:45:00,Wallet,background
TX0044,P010,P007,69277.42,2026-05-01 11:50:00,Bank Transfer,background
TX0045,P122,P130,9760.24,2026-04-12 07:14:00,UPI,background
TX0046,P029,P010,44665.54,2026-04-07 14:23:00,UPI,background
TX0047,P103,P087,10753.67,2026-04-16 08:44:00,UPI,background
TX0048,P136,P081,18237.11,2026-03-01 08:29:00,Bank Transfer,background
TX0049,P007,P117,96277.52,2026-05-27 03:25:00,UPI,background
TX0050,P095,P067,24685.65,2026-01-04 15:03:00,Bank Transfer,background
TX0051,P091,P095,146499.29,2026-02-23 02:02:00,Bank Transfer,background
TX0052,P088,P101,32553.43,2026-04-29 01:39:00,Bank Transfer,background
TX0053,P032,P020,85534.2,2026-06-23 21:58:00,Wallet,background
TX0054,P051,P075,114366.5,2026-01-11 09:09:00,Bank Transfer,background
TX0055,P071,P099,81999.38,2026-03-27 09:40:00,Bank Transfer,background
TX0056,P021,P097,70015.28,2026-01-19 20:44:00,UPI,background
TX0057,P031,P132,68557.48,2026-01-05 01:38:00,Wallet,background
TX0058,P141,P135,128173.42,2026-01-12 16:24:00,Wallet,background
TX0059,P099,P079,68271.98,2026-06-26 10:08:00,UPI,background
TX0060,P005,P114,78558.71,2026-06-13 02:32:00,Bank Transfer,background
TX0061,P030,P029,35621.06,2026-01-14 06:39:00,Bank Transfer,background
TX0062,P066,P023,5852.57,2026-03-18 14:39:00,Bank Transfer,background
