sighting_id,vehicle_id,location_id,timestamp,source
VS0001,V025,L006,2026-05-01 03:01:00,CCTV
VS0002,V085,L016,2026-06-15 08:02:00,CCTV
VS0003,V026,L001,2026-05-01 23:41:00,CCTV
VS0004,V027,L011,2026-02-15 03:08:00,CCTV
VS0005,V065,L018,2026-04-24 14:18:00,ANPR
VS0006,V084,L017,2026-04-12 02:37:00,CCTV
VS0007,V044,L008,2026-05-23 15:44:00,CCTV
VS0008,V044,L009,2026-06-21 01:30:00,ANPR
VS0009,V096,L010,2026-05-24 16:11:00,Surveillance
VS0010,V038,L011,2026-01-08 15:43:00,CCTV
VS0011,V097,L001,2026-05-29 17:35:00,ANPR
VS0012,V020,L018,2026-06-06 20:40:00,CCTV
VS0013,V005,L011,2026-03-12 16:57:00,Surveillance
VS0014,V054,L008,2026-05-21 10:13:00,CCTV
VS0015,V028,L012,2026-04-27 07:01:00,Surveillance
VS0016,V046,L008,2026-02-11 05:44:00,ANPR
VS0017,V009,L003,2026-05-20 07:21:00,CCTV
VS0018,V092,L008,2026-05-30 10:20:00,ANPR
VS0019,V026,L004,2026-02-24 02:35:00,CCTV
VS0020,V066,L020,2026-01-29 03:43:00,CCTV
VS0021,V044,L020,2026-01-04 23:26:00,Surveillance
VS0022,V089,L017,2026-04-19 22:16:00,Surveillance
VS0023,V012,L007,2026-01-19 05:50:00,CCTV
VS0024,V008,L001,2026-06-05 03:36:00,ANPR
VS0025,V086,L002,2026-04-20 14:21:00,ANPR
VS0026,V045,L020,2026-03-25 20:02:00,ANPR
VS0027,V001,L002,2026-01-11 19:21:00,Surveillance
VS0028,V049,L020,2026-06-08 08:51:00,ANPR
VS0029,V018,L004,2026-02-07 21:20:00,ANPR
VS0030,V087,L008,2026-03-01 00:54:00,ANPR
VS0031,V037,L003,2026-04-22 23:42:00,ANPR
VS0032,V041,L018,2026-02-16 19:24:00,CCTV
VS0033,V021,L018,2026-02-28 20:20:00,ANPR
VS0034,V063,L012,2026-03-29 20:34:00,Surveillance
VS0035,V067,L012,2026-03-27 07:26:00,ANPR
VS0036,V010,L014,2026-06-06 16:37:00,Surveillance
VS0037,V074,L012,2026-06-19 05:54:00,Surveillance
VS0038,V097,L006,2026-01-22 14:32:00,CCTV
VS0039,V009,L014,2026-04-28 07:40:00,ANPR
VS0040,V050,L005,2026-06-01 04:59:00,CCTV
VS0041,V043,L016,2026-03-22 13:30:00,Surveillance
VS0042,V099,L016,2026-03-27 12:31:00,Surveillance
VS0043,V015,L006,2026-06-06 14:51:00,Surveillance
VS0044,V048,L003,2026-03-02 04:14:00,Surveillance
VS0045,V035,L018,2026-04-27 18:44:00,ANPR
VS0046,V069,L002,2026-04-26 04:59:00,CCTV
VS0047,V093,L018,2026-01-31 11:52:00,Surveillance
VS0048,V051,L013,2026-04-24 01:48:00,CCTV
VS0049,V091,L015,2026-04-12 07:39:00,Surveillance
VS0050,V053,L018,2026-01-06 23:44:00,Surveillance
VS0051,V072,L001,2026-03-16 13:39:00,CCTV
VS0052,V046,L013,2026-03-21 17:38:00,Surveillance
VS0053,V090,L017,2026-06-09 12:28:00,CCTV
VS0054,V023,L020,2026-04-05 10:46:00,CCTV
VS0055,V088,L013,2026-04-19 20:57:00,CCTV
VS0056,V053,L020,2026-05-13 02:22:00,ANPR
VS0057,V088,L016,2026-03-22 21:27:00,ANPR
VS0058,V010,L015,2026-01-14 15:24:00,Surveillance
VS0059,V034,L011,2026-05-05 02:50:00,Surveillance
VS0060,V010,L016,2026-03-21 11:32:00,CCTV
VS0061,V081,L005,2026-03-01 04:58:00,Surveillance
VS0062,V006,L011,2026-01-18 04:56:00,Surveillance
VS0063,V087,L019,2026-06-12 11:27:00,CCTV
VS0064,V064,L005,2026-05-29 06:49:00,ANPR
VS0065,V085,L007,2026-06-09 21:09:00,ANPR
VS0066,V047,L018,2026-03-04 15:50:00,CCTV
VS0067,V028,L015,2026-06-14 14:54:00,CCTV
VS0068,V043,L019,2026-03-13 03:30:00,Surveillance
VS0069,V095,L002,2026-03-13 12:04:00,CCTV
VS0070,V081,L001,2026-05-02 07:32:00,Surveillance
VS0071,V086,L006,2026-04-23 03:02:00,Surveillance
VS0072,V091,L008,2026-04-15 03:10:00,CCTV
VS0073,V001,L004,2026-04-11 02:28:00,Surveillance
VS0074,V050,L015,2026-03-21 03:44:00,ANPR
VS0075,V072,L004,2026-04-04 12:19:00,CCTV
VS0076,V044,L007,2026-01-07 10:38:00,ANPR
VS0077,V017,L002,2026-02-05 22:58:00,CCTV
VS0078,V071,L013,2026-06-03 09:57:00,CCTV
