vehicle_id,registration_number,vehicle_type,color,owner_id
V001,MH12A1000,SUV,Silver,P091
V002,MH12B1001,Bike,Blue,P090
V003,MH12C1002,Car,Blue,P050
V004,MH12D1003,SUV,White,P022
V005,MH12E1004,Bike,Blue,P033
V006,MH12F1005,Car,White,P145
V007,MH12G1006,SUV,Black,P064
V008,MH12H1007,Bike,Silver,P140
V009,MH12I1008,Car,Black,P029
V010,MH12J1009,SUV,Silver,P065
V011,MH12K1010,Bike,White,P090
V012,MH12L1011,Car,White,P086
V013,MH12M1012,SUV,Black,P084
V014,MH12N1013,Bike,Black,P144
V015,MH12O1014,Car,Silver,P127
V016,MH12P1015,SUV,Blue,P143
V017,MH12Q1016,Bike,White,P031
V018,MH12R1017,Car,Silver,P012
V019,MH12S1018,SUV,White,P084
V020,MH12T1019,Bike,Blue,P060
V021,MH12U1020,Car,Silver,P078
V022,MH12V1021,SUV,White,P017
V023,MH12W1022,Bike,Blue,P123
V024,MH12X1023,Car,Silver,P052
V025,MH12Y1024,SUV,Blue,P034
V026,MH12Z1025,Bike,Black,P015
V027,MH12A1026,Car,White,P072
V028,MH12B1027,SUV,Black,P105
V029,MH12C1028,Bike,Blue,P085
V030,MH12D1029,Car,Silver,P019
V031,MH12E1030,SUV,Silver,P120
V032,MH12F1031,Bike,Blue,P050
V033,MH12G1032,Car,Silver,P083
V034,MH12H1033,SUV,Blue,P084
V035,MH12I1034,Bike,White,P031
V036,MH12J1035,Car,Black,P095
V037,MH12K1036,SUV,Black,P001
V038,MH12L1037,Bike,Black,P011
V039,MH12M1038,Car,Blue,P081
V040,MH12N1039,SUV,Silver,P003
V041,MH12O1040,Bike,White,P003
V042,MH12P1041,Car,Black,P030
V043,MH12Q1042,SUV,White,P083
V044,MH12R1043,Bike,Black,P150
V045,MH12S1044,Car,White,P074
V046,MH12T1045,SUV,White,P032
V047,MH12U1046,Bike,White,P092
V048,MH12V1047,Car,Blue,P082
V049,MH12W1048,SUV,Blue,P036
V050,MH12X1049,Bike,Blue,P107
V051,MH12Y1050,Car,Black,P115
V052,MH12Z1051,SUV,Silver,P066
V053,MH12A1052,Bike,White,P148
V054,MH12B1053,Car,Silver,P026
V055,MH12C1054,SUV,Blue,P081
V056,MH12D1055,Bike,Black,P069
V057,MH12E1056,Car,Black,P143
V058,MH12F1057,SUV,Blue,P029
V059,MH12G1058,Bike,Black,P019
V060,MH12H1059,Car,Black,P068
V061,MH12I1060,SUV,White,P030
V062,MH12J1061,Bike,Silver,P087
V063,MH12K1062,Car,Silver,P139
V064,MH12L1063,SUV,Blue,P036
V065,MH12M1064,Bike,Black,P023
V066,MH12N1065,Car,Black,P118
V067,MH12O1066,SUV,Silver,P019
V068,MH12P1067,Bike,Blue,P066
V069,MH12Q1068,Car,White,P046
V070,MH12R1069,SUV,Silver,P147
V071,MH12S1070,Bike,Silver,P098
V072,MH12T1071,Car,White,P009
V073,MH12U1072,SUV,Blue,P130
V074,MH12V1073,Bike,Blue,P053
V075,MH12W1074,Car,Blue,P105
V076,MH12X1075,SUV,White,P050
V077,MH12Y1076,Bike,Silver,P059
V078,MH12Z1077,Car,White,P132
V079,MH12A1078,SUV,Black,P047
V080,MH12B1079,Bike,White,P033
V081,MH12C1080,Car,Black,P096
V082,MH12D1081,SUV,Silver,P132
V083,MH12E1082,Bike,Silver,P132
V084,MH12F1083,Car,Silver,P096
V085,MH12G1084,SUV,Black,P013
V086,MH12H1085,Bike,Blue,P150
V087,MH12I1086,Car,White,P108
V088,MH12J1087,SUV,White,P087
V089,MH12K1088,Bike,Blue,P139
V090,MH12L1089,Car,Black,P059
V091,MH12M1090,SUV,White,P085
V092,MH12N1091,Bike,White,P062
V093,MH12O1092,Car,Silver,P110
V094,MH12P1093,SUV,Blue,P064
V095,MH12Q1094,Bike,Black,P086
V096,MH12R1095,Car,White,P002
V097,MH12S1096,SUV,Black,P077
V098,MH12T1097,Bike,White,P136
V099,MH12U1098,Car,Blue,P136
V100,MH12V1099,SUV,Blue,P139
